"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"656","2C.wav",536,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"657","4B.wav",537,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"658","3B.wav",538,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"659","2B.wav",539,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"660","4A.wav",540,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"661","3C.wav",541,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"662","2C.wav",542,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"663","4C.wav",543,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"664","3C.wav",544,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"665","1A.wav",545,"R",0.241975044541,"3",NA,"","bi",2,"f006","1C","auditory"
"666","4C.wav",546,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"667","2C.wav",547,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"668","1C.wav",548,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"669","1B.wav",549,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"670","2A.wav",550,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"671","3A.wav",551,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"672","3B.wav",552,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"673","1A.wav",553,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"674","2C.wav",554,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"675","2B.wav",555,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"676","4B.wav",556,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"677","1B.wav",557,"R",0.19203516189,"3",NA,"","bi",2,"f006","1C","auditory"
"678","4B.wav",558,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"679","1B.wav",559,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"680","4A.wav",560,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"681","3A.wav",561,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"682","2A.wav",562,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"683","4A.wav",563,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"684","3B.wav",564,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"685","4C.wav",565,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"686","1A.wav",566,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"687","1C.wav",567,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"688","3B.wav",568,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"689","4C.wav",569,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"690","3C.wav",570,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"691","1C.wav",571,"R",0.278108570667,"3",NA,"","bi",2,"f006","1C","auditory"
